eau,psp,esat,esec,rsat,rsec,vsat,vsec,petro_id
15.9,1.71,46940.0,22797.0,70.0,132.0,2603.0,2822.0,1
18.6,1.64,10000.0,4759.0,24.0,52.0,1168.0,1466.0,3
17.7,1.68,18896.0,14164.0,45.0,96.0,1527.0,2000.0,1
14.51,1.65,26812.0,12464.0,49.0,98.0,1705.0,2056.0,1
12.27,1.75,28276.0,9264.0,47.0,140.0,2054.0,2585.0,2
16.97,1.67,20464.0,10599.0,44.0,95.0,1995.0,2089.0,1
17.31,1.68,17091.0,10736.0,46.0,82.0,1371.0,2240.0,1
21.91,1.64,19982.0,12510.0,40.0,89.0,2332.0,2537.0,2
21.69,1.62,25000.0,24150.0,43.0,69.0,2362.0,2519.0,2
20.23,1.66,29940.0,21571.0,42.0,90.0,2400.0,2629.0,2
17.66,1.71,7810.0,6900.0,29.0,52.0,1377.0,1753.0,3
21.24,1.69,30300.0,23600.0,53.0,93.0,2550.0,2657.0,2
21.56,1.65,42900.0,20000.0,38.0,127.0,2240.0,2384.0,2
21.88,1.58,22300.0,23400.0,40.0,64.0,2384.0,2542.0,2
14.78,1.74,49900.0,16700.0,54.0,148.0,2315.0,2383.0,1
18.19,1.74,52350.0,22700.0,49.0,155.0,2255.0,2677.0,2
22.15,1.64,45000.0,31400.0,64.0,123.0,2489.0,2619.0,2
21.62,1.64,52600.0,25900.0,49.0,150.0,2395.0,2568.0,2
21.49,1.69,18850.0,22800.0,34.0,53.0,2311.0,2416.0,2
22.07,1.56,20000.0,19400.0,42.0,55.0,2346.0,2397.0,2
21.85,1.62,21450.0,16400.0,39.0,57.0,2433.0,2516.0,2
